name,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Roundabout Town,Fabiana Dammers,spotify:track:56ga742AkJ7eL8sVZFWaag,0.404,0.763,10,-5.071,1,0.0346,0.419,0.0,0.129,0.699,184.012,audio_features,56ga742AkJ7eL8sVZFWaag,spotify:track:56ga742AkJ7eL8sVZFWaag,https://api.spotify.com/v1/tracks/56ga742AkJ7eL8sVZFWaag,https://api.spotify.com/v1/audio-analysis/56ga742AkJ7eL8sVZFWaag,225960,4
My Baby Just Cares for Me,Nina Simone,spotify:track:3Iizl7lLyHn0uWS64BOacY,0.757,0.256,11,-16.435,0,0.101,0.963,0.11,0.107,0.538,117.462,audio_features,3Iizl7lLyHn0uWS64BOacY,spotify:track:3Iizl7lLyHn0uWS64BOacY,https://api.spotify.com/v1/tracks/3Iizl7lLyHn0uWS64BOacY,https://api.spotify.com/v1/audio-analysis/3Iizl7lLyHn0uWS64BOacY,218291,4
Hot In Herre,Jenny Owen Youngs,spotify:track:2juY7nhQdfhhc4UHOOq2jq,0.623,0.553,7,-7.441,1,0.0252,0.581,1.44e-06,0.0725,0.752,87.992,audio_features,2juY7nhQdfhhc4UHOOq2jq,spotify:track:2juY7nhQdfhhc4UHOOq2jq,https://api.spotify.com/v1/tracks/2juY7nhQdfhhc4UHOOq2jq,https://api.spotify.com/v1/audio-analysis/2juY7nhQdfhhc4UHOOq2jq,256120,4
Goodnight Moon,Shivaree,spotify:track:5jQPDVjgSGnNYl8G3H3qul,0.743,0.674,2,-7.683,1,0.0323,0.361,8.93e-05,0.0696,0.829,112.906,audio_features,5jQPDVjgSGnNYl8G3H3qul,spotify:track:5jQPDVjgSGnNYl8G3H3qul,https://api.spotify.com/v1/tracks/5jQPDVjgSGnNYl8G3H3qul,https://api.spotify.com/v1/audio-analysis/5jQPDVjgSGnNYl8G3H3qul,243777,4
20:20 Vision - Remastered 2011,Rory Gallagher,spotify:track:77ku3NBquiW8kJIu2Ldz2m,0.646,0.474,2,-11.186,1,0.0483,0.341,0.000213,0.1,0.67,127.82,audio_features,77ku3NBquiW8kJIu2Ldz2m,spotify:track:77ku3NBquiW8kJIu2Ldz2m,https://api.spotify.com/v1/tracks/77ku3NBquiW8kJIu2Ldz2m,https://api.spotify.com/v1/audio-analysis/77ku3NBquiW8kJIu2Ldz2m,241413,4
Shotgun,Eugene McGuinness,spotify:track:46rPGnMRUK2MN1jdhZipic,0.602,0.797,5,-6.706,0,0.031,0.00582,0.0,0.107,0.808,124.923,audio_features,46rPGnMRUK2MN1jdhZipic,spotify:track:46rPGnMRUK2MN1jdhZipic,https://api.spotify.com/v1/tracks/46rPGnMRUK2MN1jdhZipic,https://api.spotify.com/v1/audio-analysis/46rPGnMRUK2MN1jdhZipic,212000,4
Estan Llamando,Chico Mann,spotify:track:3F1VXvS7N6Jy0RN09WdBKw,0.881,0.761,11,-6.295,0,0.0324,0.0884,0.682,0.0759,0.97,119.982,audio_features,3F1VXvS7N6Jy0RN09WdBKw,spotify:track:3F1VXvS7N6Jy0RN09WdBKw,https://api.spotify.com/v1/tracks/3F1VXvS7N6Jy0RN09WdBKw,https://api.spotify.com/v1/audio-analysis/3F1VXvS7N6Jy0RN09WdBKw,254160,4
Hands To Hold - Original Mix,Bob Moses,spotify:track:67bEWV1fH73M4Utu4Z13Kp,0.864,0.555,4,-9.904,0,0.104,0.0539,0.698,0.0695,0.306,113.002,audio_features,67bEWV1fH73M4Utu4Z13Kp,spotify:track:67bEWV1fH73M4Utu4Z13Kp,https://api.spotify.com/v1/tracks/67bEWV1fH73M4Utu4Z13Kp,https://api.spotify.com/v1/audio-analysis/67bEWV1fH73M4Utu4Z13Kp,454513,4
Electric,Go Back To The Zoo,spotify:track:0ErHM0nECzE60Jnt0NMeXy,0.562,0.806,11,-4.588,1,0.0484,0.0643,6.05e-06,0.233,0.523,127.993,audio_features,0ErHM0nECzE60Jnt0NMeXy,spotify:track:0ErHM0nECzE60Jnt0NMeXy,https://api.spotify.com/v1/tracks/0ErHM0nECzE60Jnt0NMeXy,https://api.spotify.com/v1/audio-analysis/0ErHM0nECzE60Jnt0NMeXy,188080,4
Man Named Truth,Monsters Of Folk,spotify:track:2kIUsdizVjgQfGHvJTZtY5,0.526,0.91,2,-5.118,0,0.0329,0.542,0.00197,0.521,0.909,95.451,audio_features,2kIUsdizVjgQfGHvJTZtY5,spotify:track:2kIUsdizVjgQfGHvJTZtY5,https://api.spotify.com/v1/tracks/2kIUsdizVjgQfGHvJTZtY5,https://api.spotify.com/v1/audio-analysis/2kIUsdizVjgQfGHvJTZtY5,231880,4
